Agency,Avg Days Till Completion
South Lake Tahoe Police Department,14 days 22:56:17.106901333
South Miami Police Department,27 days 01:17:18.141055
South Nyack-Grand View Village Police Department,437 days 19:46:14.280062
South Portland Police Department,55 days 15:46:13.092414
South San Francisco Police Department,12 days 10:10:42.807439
Southampton Village Police Department,143 days 13:38:48.404526
Southborough Police Department,5 days 20:00:00
Southbridge Police Department,1146 days 20:00:00
Southern Chester County Regional Police Department,222 days 05:15:23.151670
Southern Crescent College Police Department,1 days 20:00:00
Southern Illinois University Carbondale Police,17 days 19:00:00
Southgate Police Department,23 days 15:00:16.810862
Southold Town Police Department,99 days 10:43:54.829949
Southport Police Department,11 days 20:00:00
Southport Town Police Department,39 days 04:21:01.536568
Southwick Police Department,33 days 19:07:46.597703
Spalding County Sheriff,27 days 20:00:00
Spalding County Sheriff’s Office,4 days 21:03:48.851342
Sparks Police Department,27 days 04:23:14.026769800
Sparks Police Department (GA),16 days 14:44:32.820018
Spartanburg County Sheriff,8 days 20:00:00
Spearfish Police Department,7 days 23:47:03.463768500
Spencer Village Police Department,84 days 05:21:43.296131
Spokane County Sheriff's Office,93 days 06:48:27.197931948
Spokane Police Department,134 days 08:45:43.518051640
Spokane Valley Police Department,78 days 09:16:40.957573
Spotswood Police Department,5 days 20:00:00
Spotsylvania County Sheriff,7 days 07:30:00
Springdale Police Department,124 days 11:40:00
Springfield Police Department,107 days 06:59:03.152741614
"Springfield, Oregon - Police Department",3 days 12:25:05.298565
St Charles Parish Sheriff,24 days 15:00:00
St Cloud Police Department,55 days 19:30:00
St James Parish Sheriff's Office,13 days 20:00:00
St John the Baptist Parish Sheriff's Office,17 days 20:00:00
St Johns County Sheriff's Department,55 days 19:00:00
St Johns County Sheriff's Office,19 days 19:00:00
St Landry Parish Sheriff's Office,909 days 10:49:49.895094
St Lucie County Sheriff's Office,0 days 19:00:00
St Martin Parish Sheriff's Office,0 days 20:00:00
St Mary Parish Sheriff's Office,13 days 20:00:00
St Michaels Police Department FOIA,422 days 09:48:53.418979
St Paul Police Department,51 days 07:30:33.647018500
St. Anthony Police Department,36 days 12:47:48.824221333
St. Charles Police Department,1 days 16:36:22.702759
St. Clair Sheriff's Department,64 days 13:17:00.025433500
St. Cloud Police Department,44 days 19:00:00
St. Croix County Sheriff's Office,9 days 15:32:53.653237
St. George Police Department,233 days 07:57:51.302350500
St. Johns County Sheriff's Office,402 days 11:20:10.105471
St. Johnsville Village Police Department,40 days 04:05:55.377696
St. Lawrence County Sheriff,19 days 02:02:45.734660
St. Louis County Police Department,35 days 09:57:34.368377882
St. Louis County Sheriff,6 days 02:26:48.655425
St. Louis Metropolitan Police Department,86 days 18:52:58.999583766
"St. Louis Park Police Department, St. Louis Park",30 days 13:49:14.857421
St. Marys County Sheriff,21 days 19:52:46.040312500
St. Matthews Police Department,22 days 17:08:47.939927
St. Petersburg Police Department,22 days 11:40:21.935782176
St. Regis Mohawk Tribal Police Department,28 days 07:44:15.492440
Stafford County Sheriff's Office,5 days 19:40:00
Stallion Springs Police Department,21 days 18:01:48.775400
Stamford Police Department,181 days 11:36:36.699740832
"Stanford University Department Of Public Safety, Stanford",325 days 18:18:28.988432
Stanislaus County Sheriff's Department,13 days 08:26:10.097772166
Stanly County Sheriff's Office,44 days 01:56:01.258527
Stark County Sheriff,75 days 09:37:17.150224800
State College Area Police Department,165 days 22:40:58.198883
Staunton City Police Department,5 days 01:16:54.796031
Stephenson County Sheriff,2 days 13:47:00.025433500
Sterling Heights Police Department,177 days 02:48:56.740155500
Steuben County Sheriff's Office,7 days 22:04:30.664184500
Stevens County Sheriff's Office,36 days 18:51:19.532017500
Stewart County Sheriff's Office,86 days 21:11:11.843192
Stockport Police Department,40 days 08:25:43.694860
Stockton Police Department,70 days 10:30:19.792615916
Stockton Unified School District Police Department,221 days 22:23:16.944675500
Stone County Sheriff,5 days 20:00:00
Stone County Sheriff's Office,1106 days 18:26:01.921392992
Stoneham Police Department,2 days 07:00:00
Stony Point Town Police Department,166 days 05:20:56.903566
Storey County Sheriff's Office,1 days 03:56:38.252197
Strafford County Sheriff,19 days 20:00:00
Stratford Police Department,426 days 03:17:53.566477
Strathmoor Village Police Department,2 days 14:51:53.039441
Sublette County Sheriff's Office,417 days 22:42:12.866411
"Sudbury, Ma Police Department",108 days 15:12:18.047236
Suffern Village Police Department,104 days 10:02:46.761596500
Suffolk County Police Department,137 days 19:23:24.234286888
Suffolk County Sheriff's Department,157 days 00:00:25.206882806
Suffolk County Sheriff's Office,132 days 12:33:29.354378
Suffolk University Police,267 days 20:00:00
Sullivan County Sheriff,7 days 20:00:00
Sullivan County Sheriff's Office,5 days 22:26:55.921101
Summit Count Sheriff,12 days 19:10:45.879992
Sumner County Sheriff's Office,37 days 19:00:00
Sumter County Sheriff's Office,58 days 20:38:45.366544667
Sunny Isles Beach Police Department,17 days 23:27:50.423784
Sunnyside Police Department Records,2 days 15:05:07.608262
Sunrise Police Department,141 days 22:30:15.116311400
Surfside Police Department,332 days 10:23:26.640599
Surprise Police Department,61 days 18:15:32.746022250
Surry County Sheriff's Office,166 days 08:54:16.512791500
Susanville Police Department,20 days 20:39:10.492309
Susquehanna Regional Police Department,480 days 20:00:00
Sussex County Sheriff,380 days 17:31:52.455013004
Sutter County Sheriff's Office,7 days 14:34:29.545372333
Sutton Police Department,38 days 19:34:18.542753500
Suwannee county sheriff's office,41 days 18:52:06.304069500
Swampscott Police Department,8 days 19:00:00
Swansea Police Department,14 days 20:00:00
Sweetwater County Sheriff,684 days 20:30:32.334154504
Sweetwater Police Department,250 days 20:34:50.920145
Swissvale Police Department,41 days 21:10:47.081264
Syracuse Police Department,72 days 10:03:20.536301538
Tacoma Police Department,118 days 03:34:21.597864504
Taft Police Department,6 days 23:37:31.340081500
Taliaferro County Sheriff's Office,38 days 07:25:01.767708
Tallahassee Police Department,127 days 05:59:12
Tampa Police Department,163 days 08:01:48.003147544
Taney County Sheriff,427 days 10:59:49.524682
Tangipahoa Parish Sheriff's Office,11 days 20:00:00
Tarpon Springs Police Department,74 days 20:00:00
Tarrant County Sheriff's Office,9 days 15:56:17.041830500
Tarrytown Village Police Department,111 days 04:35:09.854197
Tattnall County Sheriff's Office,22 days 22:34:54.455900
Taunton Police Department,11 days 22:12:00
Taylor County Sheriff,2 days 20:00:00
Taylor County Sheriff's Office,124 days 22:45:14.345349666
Tazewell County Sheriff,3 days 23:02:12.868355500
Tehachapi Police Department,13 days 06:51:19.976631500
Tehama County Sheriff's Office,42 days 01:14:06.133890500
Tempe Police Department,120 days 20:34:01.570548770
Tensas Parish Sheriff's Office,481 days 07:15:36.514914
Terre Haute Police Department,8 days 18:07:27.113987500
Terrebonne Parish Sheriff's Office,6 days 00:12:27.347304
Teton County Sheriff's Office,21 days 13:05:08.191675500
Tewksbury Police Department,13 days 10:48:50.639915909
Texas County Sheriff's Office,74 days 08:24:07.384208
Texas Department Of Public Safety,16 days 07:40:09.555055666
Texas Department of Public Safety,27 days 13:23:51.690117453
The Borough of Downingtown Police Department,34 days 20:00:00
Theresa Village Police Department,69 days 19:19:15.665481
Thomasville Police Department GA,277 days 11:51:12.433000500
Thornton Police Department,45 days 08:51:17.182516
Thurston County Sheriff,26 days 08:52:39.625846
Tiburon Police Department,23 days 08:44:22.596286166
Ticonderoga Town Police Department,70 days 09:55:52.660830333
Tifton Police Department,43 days 09:14:46.310555
Tigard Police Department,12 days 20:00:00
Tioga County Sheriff,7 days 19:08:43.491232
Tippah County Sheriff's Department,27 days 08:25:54.749240
Titusville Police Department,24 days 09:14:24.520851
Tiverton Police Department,4 days 08:00:00
Toledo Police Department,97 days 20:25:39.469325501
Tom Green County Sheriff,6 days 20:00:00
Tompkins County Sheriff Office,22 days 21:35:38.657753
Toms River Police Department,8 days 16:32:28.598325
Tonawanda Town Police Department,19 days 11:22:07.627895666
Tonganoxie Police Department,265 days 12:26:18.087394
Topeka Police Department,13 days 02:07:05.823033727
Torrance Police Department,53 days 22:27:28.988530786
Torrington Police Department,99 days 17:57:23.353230500
Town of Beloit Police Department,11 days 19:00:00
Town of Vienna Police Department,8 days 05:27:09.882704
Towns County Sheriff's Office,52 days 07:25:01.767708
Townsend Police Department,27 days 00:24:40.276962
"Towson Police Department, Towson",43 days 01:09:14.418907
Tracy Police Department,9 days 12:16:19.096770
Transylvania County Sheriff's Office,128 days 04:10:30.316339
Travis County Sheriff's Department,247 days 23:42:09.188927876
"Trego County Sheriff's Office, Wakeeney Ks",0 days 23:25:13.165338
Trenton Police Department,30 days 08:00:00
Treutlen County Sheriff's Office,22 days 07:25:01.767708
Trinidad Police Department,550 days 11:57:39.851625
Trinity County Sheriff,315 days 12:55:24.435277332
Troup County Sheriff,65 days 00:56:00
"Trousdale County Sheriff, Trousdale County",503 days 17:08:44.499494
Troy Police Department,36 days 21:10:31.923470
Trumbull Police Department,23 days 15:44:21.114688250
Trussville Police Department,68 days 17:43:34.166251
Tuckahoe Police Department,265 days 11:14:03.681813
Tucson Police Department,126 days 02:00:20.814953426
Tukwila Police Department,64 days 03:15:37.758633
Tulare County Sheriff,140 days 23:32:38.520010
Tulare County Sheriff's Office,29 days 19:00:00
Tulare Police Department,37 days 00:35:16.515082
Tulsa County Sheriff,13 days 22:57:31.707705600
Tulsa Police Department,102 days 11:33:51.682537550
Tunnel Hill Police Department,220 days 13:29:49.704477
Tuolumne County Sheriff,31 days 19:13:27.503691333
Turlock Police Department,29 days 04:38:51.089863333
Turner County Sheriff's Office,15 days 19:42:29.433869
Tuscaloosa County Sheriff's Office,239 days 07:56:00
Tuscaloosa Police Department,810 days 08:22:05.889406496
Tustin Police Department,241 days 15:43:25.706880
Tuxedo Park Village Police Department,137 days 08:11:30.032102
Tuxedo Police Department,304 days 10:49:23.540688
Twiggs County Sheriff's Office,27 days 18:01:51.629270
Twin Falls County Sheriff,5 days 20:00:00
Twin Falls Police Department,0 days 19:00:00
Tybee Island Police Dept,5 days 15:08:05.987940
Tyler Police Department,136 days 19:17:55.317108750
Tyrrell County Sheriff's Office,32 days 22:44:31.700084
UCI Public Safety,570 days 18:21:22.133114
UCLA Police Department,10 days 13:46:50.540873
UNC-Chapel Hill Department of Public Safety,59 days 01:55:03.513846500
UVM Police,3 days 19:09:49.674419
Ukiah Police Department,13 days 08:21:18.281337
Ulster County Sheriff,51 days 14:09:09.065516
Ulster County Sheriffs Office,50 days 09:01:31.948754333
Umatilla County Sheriff,0 days 20:00:00
Union City Police Department,54 days 06:43:14.229709625
Union County Sheriff,15 days 12:28:59.747485857
Union County Sheriff's Department,34 days 14:38:07.774918
Union County Sheriff's Office,11 days 21:59:33.021728666
Union County Sheriffs Office,31 days 21:05:01.364329
Union Parish Police Jury,24 days 20:00:00
Union Parish Sheriff's Office,14 days 20:00:00
Union county sheriff's office,1 days 00:51:23.945814
Uniontown Police Department,76 days 23:47:06.412720500
University City Police Department,24 days 19:00:00
University Of Connecticut Police Department,42 days 04:54:55.722054
University Of New Mexico Police Department,15 days 23:27:23.957755
University Of Pennsylvania Police Department,187 days 07:51:49.570971
University Of Wisconsin - Milwaukee Police Department,30 days 20:44:45.059341
University Park Police Department,14 days 20:43:08.707527500
University of Alabama Police Department,14 days 19:00:00
University of California Santa Barbara Police Department,12 days 05:44:14.220895500
"University of California, Berkeley Police Department",236 days 20:26:36.605683144
University of Central Florida Police Department,8 days 08:00:00
University of Chicago Police Department,34 days 07:45:37.580123
University of Cincinnati Police Department,2 days 20:00:00
University of Colorado-Boulder Police Department,9 days 19:00:00
University of Kansas Medical Center Police Department,17 days 19:00:00
University of Kentucky Police Department,17 days 20:00:00
University of Maryland Department of Public Safety,46 days 19:00:00
"University of Massachusetts, Amherst Police Department",15 days 01:46:56.863022250
University of New Hampshire Police Department,2 days 16:11:36.775682
University of North Carolina at Charlotte Police & Public Safety,634 days 14:10:41.025489
University of North Carolina at Greensboro Police Department,728 days 02:31:08.268025
University of North Texas Police Department,155 days 19:00:00
University of Oklahoma Police,19 days 20:00:00
University of Washington Police,136 days 16:33:52.254738750
Upland Police Department,21 days 23:07:07.101933
Upshur County Sheriff,15 days 20:00:00
Utah County Sheriff's Office,9 days 08:20:52.173140
Utah Department of Public Safety,51 days 22:25:03.458747714
Utica Police Department,141 days 17:37:16.889966
Uxbridge Police Department,23 days 16:17:55.811000666
Vacaville Police Department,36 days 17:47:41.910976714
Valdosta Police Department,4 days 08:53:33.610014500
Vallejo Police Department,120 days 14:46:23.149078
Valley County Sheriff's Office,111 days 01:55:54.881929
Van Buren County Sheriff's Office,25 days 19:21:19.216749
Van Wert County Sheriff,1 days 19:30:00
Vancouver Police Department,28 days 06:45:03.956651625
Vanderburgh County Sheriff,31 days 09:42:57.594831500
Veazie Police Department,17 days 20:00:00
Venice Police Deparment,17 days 22:13:10.036958
Ventura County Sheriff's Department,67 days 08:09:42.277554923
Ventura Police Department,153 days 00:45:19.597979750
Vermilion County Sheriff,132 days 23:43:19.683622334
Vermilion Parish Sheriff's Office,48 days 20:00:00
Vermont State Police,47 days 23:50:19.433489567
Vernon Hills Police Department,6 days 10:30:48.807743
Vernon Parish Sheriff's Office,847 days 15:50:39.988976992
Verona Police Department,96 days 00:33:45.788015
Vestal Town Police Department,383 days 06:58:19.900433
Victoria County Sheriff,0 days 20:00:00
Victorville Police Department,614 days 23:47:57.947566
Vigo County Sheriff,3 days 13:26:17.607120
Vilas County Sheriff's Office,11 days 17:55:18.918485
Villa Park Police Department,5 days 16:16:31.872780
Village Police Department,3 days 20:00:00
Vineland Police Department,22 days 16:00:00
Virginia Beach Police Department,143 days 10:57:04.540089158
Virginia Military Institute Police,2 days 09:56:25.172493750
Virginia State Police,13 days 23:07:26.744323604
Virginia Tech Police Department,2 days 11:40:00
Visalia Police Department,288 days 05:24:12.198629664
Volusia County Sheriff's Office,61 days 05:04:20.698379286
Waco Police Department,183 days 12:26:28.670530500
Wadsworth Police Department,3 days 16:52:55.075561
Wahkiakum County Sheriff,8 days 09:56:10.207125
Wake County Sheriff's Department,203 days 19:28:27.138509
Wakefield Police Department,9 days 15:30:52.684742
Walker County Sheriff's Office,23 days 23:13:14.546364
Waller County Sheriff's Office,33 days 08:00:00
Wallowa County Sheriff,58 days 20:00:00
Walnut Creek Police Department,15 days 22:58:32.554796800
Walpole Police Department,11 days 20:00:00
Walthall County Sheriff's Department,510 days 23:16:13.706690
Waltham Police Department,34 days 19:00:00
Walton County Sheriff,40 days 19:34:47.343882
Walton County Sheriff's Office,47 days 15:36:21.257358
Walworth County Sheriff's Department,434 days 19:00:00
Walworth County Sheriffs Department,61 days 20:00:00
Ward County Sheriff's Office,16 days 20:00:00
Ware County Sheriff,12 days 20:00:00
Ware Police Department,15 days 05:40:39.465665
Wareham Police Department,37 days 06:18:33.698028857
Warner Police Department,6 days 18:58:47.540714
Warner Robins Police Department,19 days 01:22:12.754267500
Warren County Sheriff,7 days 20:28:33.936598
Warren County Sheriff's Office,50 days 08:33:26.467070
Warren Police Department,19 days 00:21:59.297527111
Warrenton Police Department,4 days 05:56:51.362969
Warsaw Police Department,14 days 20:00:00
Warsaw Village Police Department,53 days 00:16:11.135537
Warwick Police Department,6 days 11:54:37.360427700
Wasco County Sheriff,0 days 20:00:00
Washington Association of Sheriffs and Police Chiefs,14 days 20:00:00
Washington County Police Department,0 days 17:57:48.983797
Washington County Sheriff,118 days 00:03:10.744686554
Washington County Sheriff's Department,25 days 07:30:00
Washington County Sheriff's Office,52 days 14:19:05.055272900
Washington Court House Police Department,49 days 08:00:00
Washington Island Police Department,14 days 20:00:00
Washington Parish Sheriff's Office,113 days 20:00:00
"Washington Terrace, Utah - Public Safety",235 days 13:17:20.100821
Washington Township Police Department,44 days 11:58:19.484761500
Washoe County Sheriff,49 days 09:32:45.940166500
Washoe County Sheriffs Office,17 days 08:21:31.075140
Washtenaw County Sheriff,22 days 09:21:35.828040333
Watauga County Sheriff's Office,57 days 02:14:19.272230
Watchung Police Department,4 days 19:00:00
Waterford Town & Village Police Department,74 days 08:36:50.720679
Watertown Police Department,68 days 19:08:05.974616648
Watervliet City Police Department,102 days 08:25:33.401427
Waukegan Police Department,14 days 23:40:47.441368
Waukesha County Sheriff,0 days 08:40:28.716893
Waukesha Police Department,66 days 19:15:36.504380
Waupaca County Sheriff,1125 days 14:22:12.937796
Waverly Village Police Department,102 days 14:43:44.711453
Waxahachie Police Department,31 days 16:22:57.260944666
Wayland Village Police Department,89 days 09:24:24
Wayne County Sheriff,199 days 09:48:09.086202714
Wayne County Sheriff's Office,24 days 16:46:15.410802
Waynesboro Police Department,18 days 09:37:19.543135500
Weare Police Department,6 days 03:50:27.846538
Webb County Sheriff,17 days 02:09:20.960427666
Weber County Sheriff's Office,52 days 09:41:09.644803
Webster Groves Police Dept,4 days 00:49:34.804580
Webster Police Department,98 days 06:41:02.895564333
Weedsport Village Police Department,237 days 14:49:06.197509
Weld County Sheriff,2 days 20:00:00
Wellesley Police Department,22 days 12:31:36.770558500
Wenatchee Police Department,32 days 20:06:42.154717
Wentworth Institute of Technology Police,36 days 19:00:00
West Baton Rouge Parish Sheriff's Office,6 days 20:00:00
West Caldwell Police Department,367 days 21:55:54.414395
West Carroll Parish Sheriff's Office,31 days 20:00:00
West Carthage Village Police Department,41 days 08:50:17.494145
West Covina Police Department,18 days 19:17:42.497047400
West Fargo Police Department,307 days 05:27:29.816692248
West Feliciana Parish Sheriff's Office,35 days 20:00:00
West Greenwich Police Department,29 days 20:00:00
West Hartford Police Department,53 days 03:17:53.566477
West Hempfield Township Police,4 days 19:00:00
West Hennepin Police Department (minnesota),6 days 13:34:33.472848
West Hollywood Sheriff's Department,148 days 06:20:34.967970
West Jordan Police Department,151 days 04:15:13.590379500
West Lampeter Police,16 days 19:00:00
West New York Police Department,19 days 08:00:00
West Palm Beach Police Department,112 days 02:15:27.310628600
West Richland Police Department,4 days 11:40:44.652793
West Sacramento Police Department,23 days 12:24:36.037280500
West Seneca Town Police Department,14 days 03:00:52.057434
West Springfield Police Department,961 days 23:10:30.202261376
West Union Police Department,255 days 19:00:00
West Valley Police Department,31 days 01:05:59.968027666
West Valley-Mission Community College District Police Department,13 days 02:47:29.139537
West Virginia Department of Military Affairs and Public Safety,6 days 19:00:00
West Virginia Division of Protective Services (WV Capitol Police),37 days 19:09:35.677150
West Virginia State Police,49 days 19:30:57.142471111
West Warwick Police Department,10 days 02:00:00
West Wendover Police Department,30 days 11:37:32.562853
Westchester County Sheriff,98 days 06:02:23.828167500
Westerly Police Department,5 days 02:00:00
Westfield State University Public Safety,14 days 16:55:53.602878
Westfield Village Police Department,226 days 22:37:08
Westhampton Beach Village Police Department,318 days 13:27:40.671068
Westminster Police Department,105 days 19:48:50.039672500
Westmoreland County Sheriff,176 days 15:44:06.265107
Weston Police Department,24 days 18:54:42.969873
Wetumpka Police Department,27 days 19:50:58.436973
Wexford County Sheriff's Office,7 days 21:33:57.552636
Wharton Police Dept.,9 days 19:00:00
Whatcom County Sheriff's Office,19 days 14:00:36.303466750
Wheat Ridge Police,17 days 20:00:00
Wheeling Police Department,21 days 19:00:00
Wheelock College Department of Public Safety,2463 days 06:25:41.086580992
White County Sheriff's Office,18 days 07:25:01.767708
White County Sheriffs Office,13 days 06:22:07.358083
White Plains Department of Public Safety,21 days 00:17:58.405563400
Whitefish Bay Police Department,23 days 20:00:00
Whitehall Village Police Department,82 days 09:28:16.833309
Whiteside County Sheriff's Office,105 days 16:49:01.386082
Whitfield County Sheriff's Office,9 days 16:26:00.165899
Whitman Police Department,14 days 20:16:25.050354
Whittier Police Department,22 days 00:09:18.297201
Wichita County Sheriff,0 days 20:00:00
Wichita Falls Police Department,10 days 19:19:22.608482500
Wichita Police Department,28 days 01:45:29.952211166
Wilkes County Sheriff's Office,23 days 07:25:01.767708
Wilkinson County Sheriff's Office,13 days 16:34:10.209486
Williams Police Department,19 days 03:42:36.737665
Williamsburg Police Department,17 days 11:12:40.211029
Williamson County Sheriff,174 days 19:02:45.555176500
Williamson County Sheriffs Office,48 days 18:00:37.650607
Williamsport Police Department,367 days 03:48:43.245595
Willimantic Police Department,8 days 20:00:00
Willing Police Department,335 days 22:24:01.436917
Willits Police Department,71 days 18:51:05.563741
Wilmette Police Department,143 days 10:51:39.605931500
Wilmington Police Department,53 days 20:55:50.561509217
"Wilshire Community Police Station, Wilshire Park",41 days 20:08:50.811958
Wilson County Sheriff,138 days 14:31:35.895955400
Wilton Police Department,11 days 19:00:00
Winchester Police Department,173 days 00:19:19.273598500
Windham Police Department,28 days 21:11:08.254929
Windsor Police Department,3 days 08:18:01.325768
Winn Parish Sheriff's Office,6 days 20:00:00
Winnebago County Sheriff's Office,7 days 20:00:00
Winnemucca Police Department,16 days 19:59:55.961455
Winooski Police Department,33 days 04:47:21.808210
Winston County Sheriff,5 days 20:00:00
Winston County Sheriff's Office,21 days 19:00:00
Winston-Salem Police Department,109 days 07:52:44.326365416
Winthrop Police Department,1084 days 14:38:00.357094
Wiscasset Police Department,11 days 20:00:00
Wise County Sheriff,27 days 21:51:23.127746
Wixom Police Department,26 days 19:14:46.279012
Woburn Police Department,7 days 07:28:45.257471500
Wolcott Village Police Department,88 days 14:14:03.875336500
Wolfeboro Police Department,78 days 05:16:37.485220
Wood-ridge Police Department,23 days 19:55:52.143398
Woodbridge Police Department,57 days 21:52:32.181093500
Woodbury County Sheriff,1 days 20:00:00
Woodbury Town Police Department,73 days 22:20:00.781548
Woodford County Sheriff's Office,28 days 02:25:23.043409
Woodlake Police Department,26 days 15:21:52.439288
Woodridge Village Police Department,32 days 21:09:24.677541
Woodruff County Sheriff's Office,57 days 09:15:30.209687
Woodruff Police Department,3 days 12:20:33.614271
Woodway Police Department,4 days 06:05:11.203346
Woonsocket Police Department,12 days 20:00:00
Worcester County Sheriff,464 days 03:36:08.648736
Worcester County Sheriff's Office,14 days 12:47:06.842003500
Worcester Police Department,31 days 04:10:35.294117647
Worcester State University Police,14 days 14:21:03.917824
Wright County Sheriff Office,0 days 20:00:00
Wright Township Police Department,2 days 19:00:00
Wyandotte County Sheriff,1140 days 18:20:11.302684992
Wyoming County Sheriff's Department,21 days 22:54:06.235733
Yakima County Sheriff's Office,27 days 08:00:00
Yakima Police Department,161 days 15:26:10.049072400
Yale University Police Department,13 days 08:22:32.488558
Yamhill County Sheriff's Office,75 days 20:00:00
Yancey County Sheriff's Office,13 days 20:04:04.048803
Yankton Police Department,83 days 13:51:36.283522
Yates County Sheriffs Office,7 days 20:16:12.719829
Yavapai County Sheriff's Office,3 days 10:33:55.392359
Yazoo County Sheriff's Department,36 days 21:07:41.346319
Yell County Sheriff's Department,1 days 20:00:00
Yellowstone County Sheriff's Office,31 days 09:16:59.522583
Yolo County Sheriff,3 days 04:47:36.895581
Yonkers Police Department,31 days 01:54:20.552116600
York City Police Department,242 days 08:04:25.514405200
York County Sheriff,1 days 20:00:00
York County Sheriff's Office,21 days 21:43:23.283626
York Police Department,22 days 04:24:57.412743500
Yorkville Village Police Department,277 days 00:56:00
Ypsilanti Police Department,54 days 20:00:00
Yreka Police Department,40 days 23:42:17.988252
Yuba City Police Department,36 days 18:46:12.265515
Yuba County Sheriff,8 days 20:00:00
Yuma County Sheriff,4 days 13:54:10.465400
Yuma County Sheriff's Office,248 days 02:59:37.551832
Yuma Police Department,109 days 07:08:19.337959666
Zanesville Police Department,23 days 08:58:40.132203500
athens-clarke county police department,10 days 20:00:00
hazlet police,9 days 20:00:00
palestine police department,19 days 20:00:00
police,23 days 21:35:11.503016333
police department,26 days 23:58:50.803197
rancho cucamonga police department,87 days 19:59:52.129130
rochester police department,21 days 05:55:48.352590
