,Agency,Requests Received
1764,Bridgeville Police Department,2
1765,Bridgewater Township Police Department,2
1766,Bridgewater police department,2
1767,Baca County Sheriff,2
1768,Ukiah Police Department,2
1769,Bristol Township Police Department,2
1770,Selma Police Department,2
1771,Bowie Police Department,2
1772,Seneca Police Department,2
1773,Sheriff's office,2
1774,Sleepy Hollow Village Police Department,2
1775,Tompkins County Sheriff Office,2
1776,Blue Springs Police Department,2
1777,Blythe Police Department,2
1778,Simmons College Police,2
1779,Siloam Springs Police Department,2
1780,Barstow Police Department,2
1781,Bolivar Police Department,2
1782,Torrance County Sheriff,2
1783,Torrington Police Department,2
1784,Barrington Police Department,2
1785,Sherwood Police Department,2
1786,Boone County Sheriff's Office,2
1787,Trumbull County Sheriff,2
1788,Sheriff's Office FOIA,2
1789,"Towson Police Department, Towson",2
1790,Shelbyville Police Department,2
1791,Shelby Police Department,2
1792,Shelby County Sheriff's Office,2
1793,Bothell Police Department,2
1794,Shawnee Police Department,2
1795,Boulder City Police Department,2
1796,Sharp County Sheriff's Office,2
1797,Shandaken Town Police Department,2
1798,Bow Police Department,2
1799,Trumansburg Police Department,2
1800,Washington Association of Sheriffs and Police Chiefs,2
1801,Pleasants County Sheriffs Dep,2
1802,Newaygo County Sheriff,2
1803,Northfield Police Department,2
1804,New Hartford Town Police Department,2
1805,Alcona County Sheriff's Office,2
1806,Willimantic Police Department,2
1807,Willing Police Department,2
1808,Wilmette Police Department,2
1809,New Brunswick Police (New Jersey),2
1810,New Brighton Public Safety,2
1811,Wilton Police Department,2
1812,City of Ocoee Police Department,2
1813,National City Police Department,2
1814,Nassau County Sheriff's Office,2
1815,Windham Police Department,2
1816,Nashua Police Department,2
1817,Nahant Police Department,2
1818,Nacogdoches County Sheriff,2
1819,Winn Parish Sheriff's Office,2
1820,Muskegon Police Department,2
1821,Muscogee County Sheriff,2
1822,Winnebago County Sheriff,2
1823,Murray County Sheriff's Office,2
1824,Claiborne Parish Sheriff's Office,2
1825,Muncie Police Department,2
1826,Clark County Sheriff,2
1827,Albany County Sheriff,2
1828,Wiscasset Police Department,2
1829,Mount Pleasant Police Department,2
1830,Wolcott Police Department,2
1831,"New Mexico Department of Public Safety, Grants Management Bureau",2
1832,New Paltz Town & Village Police Department,2
1833,New Port Richey Police Department,2
1834,Allegany County Sheriff's Office,2
1835,Chattooga County Sheriff's Office,2
1836,Allendale County Sheriffs Office,2
1837,Chaves County Sheriff's Office,2
1838,North Reading Police Department,2
1839,Cheatham County Sheriff’s Office,2
1840,North Haven Police,2
1841,Weymouth Police Department,2
1842,Wheat Ridge Police,2
1843,North Carolina State University Police Department,2
1844,Chenango County Sheriff's Office,2
1845,North Adams Police Department,2
1846,Allegany Village Police Department,2
1847,Cheyenne County Sheriff,2
1848,Christiansburg Police Department,2
1849,Alhambra Police Department,2
1850,Niles Police Department,2
1851,Niagara County Sheriff (NY),2
1852,Chichester Police Department,2
1853,Alexandria Bay Village Police Department,2
1854,Chicopee Police Department,2
1855,Wicomico County Sheriff,2
1856,Wilkes County Sheriff's Office,2
1857,Newburgh Police Department,2
1858,Carrboro Police Department,2
1859,Wilkes-barre City Police Department,2
1860,New Rochelle City Police Department,2
1861,Clay County Sheriff,2
1862,Mount Hope Town Police Department,2
1863,Mounds View Police Department,2
1864,Midwest City Police Department,2
1865,Coachella Police Department,2
1866,Minnehaha County Sheriff,2
1867,Yazoo County Sheriff's Department,2
1868,Milpitas Police Department,2
1869,Millville Police Department,2
1870,Millis Police Department,2
1871,Miller County Sheriffs Office,2
1872,York Police Department,2
1873,Yorkville Village Police Department,2
1874,Acworth Police Department,2
1875,Millburn Police Department,2
1876,Millbrook Village Police Department,2
1877,Midlothian Police Department,2
1878,Yavapai County Sheriff's Office,2
1879,Cockrell Hill Police Department,2
1880,Cocoa Police Department,2
1881,Coeymans Town Police Department,2
1882,Youngstown Village Police Department,2
1883,Cohocton Police Department,2
1884,Yuba County Sheriff,2
1885,Miami County Sheriff,2
1886,Zanesville Police Department,2
1887,Metter Police Department,2
1888,aiken public safety,2
1889,athens-clarke county police department,2
1890,hazlet police,2
1891,Minot Police Department,2
1892,"Adams County Sheriff's Office, Adams County, WA",2
1893,Clayton County Sheriff,2
1894,Montrose County Sheriff's Office,2
1895,Moultrie County Sheriff's Office,2
1896,Clayton Police Department,2
1897,Clayton Police Department (MO),2
1898,Moriah Town Police Department,2
1899,Wolcott Village Police Department,2
1900,Morgantown Police Department,2
1901,Morgan Hill Police Department,2
1902,Morgan County Sheriff,2
1903,Moravia village police department,2
1904,Wood-ridge Police Department,2
1905,Woodridge Village Police Department,2
1906,Woodstock Police department,2
1907,Montpelier Police Department,2
1908,Mohawk Village Police Department,2
1909,Cleveland County Sheriff,2
1910,Montgomery Town Police Department,2
1911,Wyandotte County Sheriff,2
1912,Cleveland Heights Police Department,2
1913,Montezuma County Sheriff's Office,2
1914,Monterey Park Police Departmentt,2
1915,Montebello Police Department,2
1916,Montcalm County Sheriff,2
1917,Montague Police Department,2
1918,Monroe Village Police Department,2
1919,Clifton Springs Village Police Department,2
1920,Addison Police Department,2
1921,Northampton County Sheriff,2
1922,Bellmead Police Department,2
1923,Alpharetta Police Department,2
1924,Central Square Village Police Department,2
1925,Outagamie County Sheriff,2
1926,Old Dominion University Police Department,2
1927,West Chester Police Dept.,2
1928,West Feliciana Parish Sheriff's Office,2
1929,Chaffee County Sheriff,2
1930,Chambersburg Police Department,2
1931,West Jordan Police Department,2
1932,Office of the Police Monitor,2
1933,Oyster Bay Cove Village Police Department,2
1934,Florida City Police Department,2
1935,Amador County Sheriff's Office,2
1936,Painted Post Village Police Department,2
1937,Washington Township Police Department,2
1938,Palatine Police Department,2
1939,Casa Grande Police Department,2
1940,Centre City Police Department,2
1941,Ouray County Sheriff's Office,2
1942,Ocean County Sheriff,2
1943,West Carroll Parish Sheriff's Office,2
1944,Otsego County Sheriff's Office,2
1945,Andover Village Police Department,2
1946,Catawba County Sheriff,2
1947,Cathedral City Police Department,2
1948,Waynesboro Police Department,2
1949,Anderson County Sheriff,2
1950,Cattaraugus Village Police Department,2
1951,Cayuga Heights Police Department,2
1952,Otter Tail County Sheriff,2
1953,Oriskany Village Police Department,2
1954,Cedar Park Police Department,2
1955,Opelika Police Department,2
1956,Cedartown Police Department,2
1957,West Baton Rouge Parish Sheriff's Office,2
1958,West Caldwell Police Department,2
1959,Palmdale Public Safety,2
1960,Wayland Village Police Department,2
1961,Ocean Beach Village Police Department,2
1962,West Wendover Police Department,2
1963,Norwich City Police Department,2
1964,Alton Police Department,2
1965,Washington Island Police Department,2
1966,Cartersville Police Department,2
1967,Norwalk Public Safety Office,2
1968,Parshall Police Department,2
1969,Norwalk Police Dept.,2
1970,West Miami Police Department,2
1971,Peachtree City Police Dept,2
1972,Washington Court House Police Department,2
1973,Westfield Police Department,2
1974,Westchester County Sheriff,2
1975,Pearl Police Department,2
1976,Nye County Sheriff’s Office,2
1977,"Washington Terrace, Utah - Public Safety",2
1978,Carthage Village Police Department,2
1979,Carver County Sheriff's Office (minnesota),2
1980,Edgewood Borough Police,1
1981,Euless Texas Police Department,1
1982,Bay City Police Department,1
1983,Belleville Police Department,1
1984,Arvin Police Department,1
1985,Effingham County Sheriff's Office,1
1986,Baxter County Sheriff's Office,1
1987,Bayonne Police Department,1
1988,Escalon Police Department,1
1989,Abbeville Police Department,1
1990,Angelica Village Police Department,1
1991,Angels Camp Police Department,1
1992,Aiken County Sheriff,1
1993,Edgewood Police Department,1
1994,Aitkin County Sheriff,1
1995,Erlanger Police Department,1
1996,Antrim County Sheriff Michigan,1
1997,Asbury Park Police Department,1
1998,Ferguson Township Police Department,1
1999,Bath Village Police Department,1
2000,Arlington Heights Police Department,1
2001,Basehor Police Department,1
2002,Bartow Police Department,1
2003,Aragon Police Department,1
2004,Edwardsville Police Department,1
2005,Androscoggin County Sheriff,1
2006,Alachua Police Department,1
2007,Fenton Police Department,1
2008,Bartow County Sheriffs Office,1
2009,Ak-Chin Tribal Police Department,1
2010,Bear Valley Police Department,1
2011,Euclid Police Department,1
2012,Acadia Parish Sheriffs Office,1
2013,Arkansas County Sheriff's Office,1
2014,Echols County Sheriffs Office,1
2015,Etna Police Department,1
2016,Eaton County Sheriff,1
2017,Adams Village Police Department,1
2018,Argyle Police Department,1
2019,Fitzgerald Police Department,1
2020,Arcata Police Department,1
2021,Essex County Sheriff's Office,1
2022,Anthony Texas Police,1
2023,Bee Cave Police Department,1
2024,Estherwood Police Department,1
2025,Evans County Sheriff's Office,1
2026,Bedminster Twp Police,1
2027,Adams County Sheriff,1
2028,Bedford Town Police Department,1
2029,Estes Park Police Department,1
2030,Beaverhead County Sheriff's Office,1
2031,Addison County Sheriff Department,1
2032,Bartow County Sheriff,1
2033,Anniston Police Department,1
2034,Afton Village Police Department,1
2035,Echols County Sheriff's Office,1
2036,Eddy County Sheriff's Department,1
2037,Adrian Police Department,1
2038,Arcade Police Department,1
2039,Beaufort Police Department,1
2040,Flemington Police Department,1
2041,Evans Town Police Department,1
2042,Anthony Police Department,1
2043,Arcade Village Police Department,1
2044,Arkansas Local Police And Fire Retirement System,1
2045,Beaver Dam Police Department,1
2046,Addison Village Police Department,1
2047,Flathead County Sheriff's Office,1
2048,Beavercreek Police Department,1
2049,Anson County Sheriff's Office,1
2050,Ferndale Police Department,1
2051,Assumption Parish Sheriff's Office,1
2052,"Effingham Police Department, Effingham, NH",1
2053,Alfred Village Police Department,1
2054,Elko Police Department,1
2055,Avon Village Police Department,1
2056,Avoyelles Parish Sheriffs Office,1
2057,Alfred Police Department,1
2058,Emmet County Sheriff’s Office,1
2059,Emporia Police Department,1
2060,Fannin County Sheriffs Office,1
2061,Atlantic County (NJ) Department of Public Safety,1
2062,Elkins City Police Department,1
2063,Elkhorn Police Department,1
2064,Alturas Police Department,1
2065,Elkhart Police Department,1
2066,Atlanta Police Department Auto Theft Task Force (ATTF),1
2067,Alexander County Sheriff's Office,1
2068,BRISTOL POLICE DEPARTMENT,1
2069,Aldan Police Department,1
2070,Endicott Village Police Department,1
2071,BURLINGTON POLICE DEPARTMENT,1
2072,Elk River Police Department,1
2073,Ellensburg Police Department,1
2074,Ellicott Town Police Department,1
2075,Asharoken Village Police Department,1
2076,Atlantis Police Department,1
2077,Alma Police Department,1
2078,Allenstown Police Department,1
2079,Allen Parish Sheriff's Office,1
2080,Alstead Police Department,1
2081,Emanuel County Sheriffs Office,1
2082,Eloy Police Department,1
2083,Auraria Campus Police Department,1
2084,Elmsford Village Police Department,1
2085,Attica Village Police Department,1
2086,Altamont Village Police Department,1
2087,Falfurrias Police Department,1
2088,Emerson College Police,1
2089,Avery County Sheriff's Office,1
2090,Alleghany County Sheriff's Office,1
2091,Avoca Police Department,1
2092,Altoona Police Department,1
2093,Attala County Sheriff's Department,1
2094,Allegan County Sheriff,1
2095,Aliso Viejo Police Services,1
2096,Amberley Police Department,1
2097,Bainbridge Village Police Department,1
2098,Alcorn County Sheriff,1
2099,Baker County Sheriff,1
2100,El Paso County Sheriff's Office,1
2101,Albion Village Police Department,1
2102,Banning Police Department,1
2103,Bannock County Sheriff,1
2104,Barber County Sheriff,1
2105,Albion Department of Public Safety,1
2106,Albany County Sheriff's Office,1
2107,Amory Police Department,1
2108,Alapaha Police Department,1
2109,Atascadero Police Department,1
2110,"Alma Police Department, AR",1
2111,Barboursville Police Dept,1
2112,Barker Village Police Department,1
2113,El Dorado Police Department,1
2114,Amsterdam City Police Department,1
2115,Anadarko Police Department,1
2116,Ashtabula County Sheriff,1
2117,Fayette Police Department,1
2118,Barren County Sheriff's Office,1
2119,Amityville Village Police Department,1
2120,Athens GA Police Department,1
2121,Amite County Sheriff's Department,1
2122,Englewood Cliffs Police Department,1
2123,Elizabethtown Police Department,1
2124,Baker County Sheriff's Office,1
2125,Atkinson County Sheriff's Office,1
2126,Ambler Borough Police Department,1
2127,Fairfax County Police,1
2128,Bal Harbour Police Department,1
2129,Baldwin County Sheriff's Office,1
2130,Farmersville Police Department,1
2131,Albuquerque Civilian Police Oversight Agency,1
2132,Amesbury Police Department,1
2133,Faulkner County Sheriff's Office,1
2134,Ames Police Department,1
2135,Fair Lawn Police Department,1
2136,Baldwinsville Village Police Department,1
2137,Erie County Central Police Services,1
2138,Erie County Sheriff,1
2139,El Portal Police Department,1
2140,Baltimore City Sheriff's Department,1
2141,Eufaula Police Department,1
2142,Division of Sheriffs Department of Public Safety,1
2143,Eastchester Town Police Department,1
2144,Cumberland County Sheriff,1
2145,Crowley Police Department,1
2146,Centralia Police Department,1
2147,Central Connecticut State University Police Department,1
2148,Centerville Police Department,1
2149,Culpeper County Sheriff's Office,1
2150,Centennial Police Department,1
2151,Celina Police Department,1
2152,Cazenovia Village Police Department,1
2153,Creek County Sheriff's Office,1
2154,Curry County Sheriff,1
2155,Cayuga County Sheriff,1
2156,Catskill Village Police Department,1
2157,Catoosa County Sheriff's Office,1
2158,D'Iberville Police Department,1
2159,Dade County Sheriff's Office,1
2160,Dakota County Sheriff,1
2161,Centre Island Village Police Department,1
2162,Ceres Police Department,1
2163,Chadron Police Department,1
2164,Chambers County Sheriff's Office,1
2165,Chattanooga Fire And Police Pension Fund,1
2166,Crisp County Sheriff's Office,1
2167,Chattahoochee Hills Police,1
2168,Chatsworth Police Department,1
2169,Chatham Village Police Department,1
2170,Chatham Township Police Department,1
2171,Chatham County Sheriffs Office,1
2172,Chatham County Sheriff's Office,1
2173,Chatham County Sheriff,1
2174,Crittenden County Sheriff,1
2175,Crook County Sheriff's Office,1
2176,Cross County Sheriff's Office,1
2177,Chardon Police,1
2178,Champaign County Sheriff,1
2179,Croton-on-Hudson Village Police Department,1
2180,Catahoula Parish Sheriff's Office,1
2181,Caswell County Sheriff's Office,1
2182,Castle Rock Police Department,1
2183,Darlington County Sheriff's Office,1
2184,Davidson County (tn) Sheriff's Of,1
2185,Davie County Sheriff's Office,1
2186,Cape May Police Department,1
2187,Cape May County Sheriff's Office,1
2188,Daviess County Sheriff,1
2189,Canton Village Police Department,1
2190,Dawson County Sheriff,1
2191,Cannon County Sheriff,1
2192,Canisteo Village Police Department,1
2193,De Police Chiefs' Council,1
2194,Canastota Village Police Department,1
2195,DeSoto County Sheriff's Office,1
2196,Canandaigua City Police Department,1
2197,DeSoto Parish Sheriff's Office,1
2198,DeSoto Police Department TX,1
2199,Cape Vincent Village Police Department,1
2200,Carbon County Sheriff's Office,1
2201,Castle Hills Police Department,1
2202,Caribou County Sheriff's Office,1
2203,Cassia County Sheriff's Office,1
2204,Cass County Sheriff’s Office,1
2205,Cascade County Sheriff,1
2206,Dallas County Sheriff's Office,1
2207,Dallas Police Department (Ga),1
2208,Dalton Police Department,1
2209,Carteret County Sheriff's Office,1
2210,Carrolton Police Department,1
2211,Carroll Town Police Department,1
2212,Carroll County Sheriff’s Department,1
2213,Carpentersville Police Department,1
2214,Caroline County Police Department,1
2215,Daphne Police Department,1
2216,Dare County Sheriff's Office,1
2217,Darien Police Department IL,1
2218,Crescent City Police Department,1
2219,Chautauqua County Sheriff,1
2220,Dearborn County Sheriff,1
2221,Clermont Police Department,1
2222,Comer Police Department,1
2223,Commission To Combat Police Corruption,1
2224,Climax Police Department,1
2225,Community Police Commission,1
2226,Concordia Parish Sheriff's Office,1
2227,Conecuh County Sheriff's Office,1
2228,Cleveland County Sheriff's Office,1
2229,Clemson Police Department,1
2230,Chelan County Sheriff,1
2231,Contra Costa County Sheriff,1
2232,Cleburne Police Department,1
2233,Cleburne County Sheriff's Office,1
2234,Converse County Sheriff's Office,1
2235,"Clearwater County Sheriff's Office, Clearwater County",1
2236,Clearwater County Sheriff's Office,1
2237,Clayton Village Police Department,1
2238,Clinton County Sheriff's Office,1
2239,Cloverdale Police Department,1
2240,Clyde Village Police Department,1
2241,Columbus County Sheriff's Office,1
2242,Coles County Sheriff's Office,1
2243,Collegedale Police Department,1
2244,Colchester Town Police Department,1
2245,Colchester Police Department,1
2246,Cohutta Police Department,1
2247,Cohoes City Police Department,1
2248,Collier County Sheriff’s Office,1
2249,Coffee County Sheriff,1
2250,Collins Police Department,1
2251,Cochran Police Department,1
2252,Cobleskill Village Police Department,1
2253,Colquitt Police Department,1
2254,Colton Police Department,1
2255,Columbia Falls Police Department,1
2256,Coahoma County Sheriff's Department,1
2257,Conyers Police Department,1
2258,Clayton County Sheriffs Office,1
2259,Cooperstown Village Police Department,1
2260,Christian County Sheriff's Office,1
2261,Choctaw Nation Public Safety,1
2262,Chittenango Village Police Department,1
2263,Chisago County Sheriff,1
2264,Chillicothe Police,1
2265,Chickasaw Nation Lighthorse Police Department,1
2266,Cotati Police Department,1
2267,Covington County Sheriff's Department,1
2268,Chicago City Council Committee On Public Safety,1
2269,Chevy Chase Police,1
2270,Coxsackie Village Police Department,1
2271,Chesterfield County Sheriff,1
2272,Chester Police Department,1
2273,Craighead County Sheriff,1
2274,Craven County Sheriff's Office,1
2275,Chemung County Sheriff,1
2276,Chowan County Sheriff's Office,1
2277,Cortland Police Department,1
2278,Clatskanie Police Department,1
2279,Cortland County Sheriff's Office,1
2280,Clarke County Sheriff's Department,1
2281,Coos County Sheriff,1
2282,Copiah County Sheriff's Department,1
2283,Copley Township Police,1
2284,Clare County Sheriff's Office,1
2285,City of Winnfield Police Department,1
2286,City of White Police Department,1
2287,Corinth Police Department,1
2288,City of Garrett Police Department,1
2289,City of Canton Police Department,1
2290,City University Of New York Public Safety Department,1
2291,City Of Bridgeport Police Department,1
2292,Corrales Police Department,1
2293,Corrections And Public Safety Subcommittee,1
2294,Cortland City Police Department,1
2295,Canajoharie Village Police Department,1
2296,Canadian County Sheriff,1
2297,Belmar Police Department,1
2298,Bloomingdale Police Department (NJ),1
2299,Bolivar Village Police Department,1
2300,Bolivar County Sheriff,1
2301,Bolingbrook Police Department,1
2302,Drew County Sheriff's Office,1
2303,Blue Ridge Police Department,1
2304,Blue Mound Police Department,1
2305,Blount County Sheriff's Office,1
2306,Dublin Police Department CA,1
2307,Dobbs Ferry Village Police Department,1
2308,Dubuque Police Department,1
2309,Bloomingdale Police Department (GA),1
2310,Blooming Grove Town Police Department,1
2311,Duke University Police Department,1
2312,Blasdell Village Police Department,1
2313,Bladen County Sheriff's Office,1
2314,Dunkirk City Police Department,1
2315,Bolton Town Police Department,1
2316,"Bond County Sheriff's Office, Bond County",1
2317,Bonner County Sheriff's Office,1
2318,Boonville Police Department,1
2319,Brandon Police Department,1
2320,Bradley County Sheriff's Office,1
2321,Dolgeville Village Police Department,1
2322,Bradley Beach Police Department,1
2323,Bradford Township Police Department,1
2324,Bradenton Police Department,1
2325,Donalsonville Police Department,1
2326,Dooly County Sheriffs Office,1
2327,Bowdon Police Department,1
2328,Bow Mar Police Department,1
2329,Boundary County Sheriff's Office,1
2330,Dorchester County Sheriff's Office,1
2331,Bossier Sheriffs Office,1
2332,Bossier Parish Sheriff's Office,1
2333,Boonville Village Police Department,1
2334,"Dunn Police Department, Dunn Nc",1
2335,Blackstone Police Department,1
2336,Black River Village Police Department,1
2337,Berks County Sheriff,1
2338,East Hempfield Township Police,1
2339,East Lampeter Police Department,1
2340,Berkeley County Sheriff's Office,1
2341,East Liverpool Police Department,1
2342,Bergen County (NJ) Department of Public Safety,1
2343,Benzie County Sheriff's Office,1
2344,Bentonville Police Department,1
2345,Benton County Sheriff's Department,1
2346,East Orange Police Department,1
2347,Benicia Police Department,1
2348,Bend Police Department,1
2349,East Rochester Village Police Department,1
2350,Ben Hill County Sheriffs Office,1
2351,Ben Hill County Sheriff's Office,1
2352,Beltsville Police Department,1
2353,Berkeley Police Review Commission,1
2354,East Fishkill Town Police Department,1
2355,Biscayne Park Police Department,1
2356,Bernalillo County Sheriff’s Department,1
2357,Duplin County Sheriff's Office,1
2358,Durham Town Police Department,1
2359,Big Spring Police Department,1
2360,Duxbury Police Department,1
2361,Big Horn County Sheriff's Office,1
2362,Eagle Mountain Police Department,1
2363,Early County Sheriff's Office,1
2364,Bexley Police Department,1
2365,Bethlehem Town Police Department,1
2366,Bessemer Police Department,1
2367,Berrien County Sheriff,1
2368,East Carroll Parish Sheriff's Office,1
2369,East Chicago Police Department,1
2370,East Dublin Police Department,1
2371,East Feliciana Parish Sheriff's Office,1
2372,Doerun Police Department,1
2373,Braxton County Sheriff,1
2374,Campton Police Department,1
2375,CSU Fullerton Police Department,1
2376,Calaveras Sheriff's Office,1
2377,Calais Police Department,1
2378,Calabash Police Department,1
2379,Caddo Parish Sheriff's Office,1
2380,Caddo County Sheriff Department,1
2381,Delhi Village Police Department,1
2382,"Cabell County Sheriff's Office, WV",1
2383,CSU Bakersfield Police Department,1
2384,Brevard County Sheriff: Canaveral Precinct,1
2385,Delray Police Dept,1
2386,Butts County Sheriffs Dept,1
2387,Butts County Sheriff,1
2388,Butte College Police Department,1
2389,Butler Police Department,1
2390,Butler County Sheriff's Office,1
2391,Butler County Sheriff,1
2392,Delaware County Sheriff's Office,1
2393,Caledonia Village Police Department,1
2394,Calexico Police Department,1
2395,Calhoun County Sheriff Department,1
2396,Camillus Town and Village Police Department,1
2397,Camilla Police Department,1
2398,Deerborn County Sheriff's Office,1
2399,Deerpark Town Police Department,1
2400,Cameron Parish Sheriff's Office,1
2401,Defiance County Sheriff,1
2402,Cameron County Sheriff,1
2403,Camden County Sheriffs Office,1
2404,Dekalb County Sheriff,1
2405,Dekalb County Sheriff's Department,1
2406,Cambridge Village Police Department,1
2407,Cambria County Sheriff's Office,1
2408,Calverton Park Police Department Missouri,1
2409,Calumet City Police Department,1
2410,California City Police Department,1
2411,Demorest Police Department,1
2412,Denham Springs Police Department,1
2413,Burnsville  Police Department,1
2414,Brooksville Police Department,1
2415,Broadwater County Sheriff’s Office,1
2416,Broadmoor Police Protection District,1
2417,Desoto County Sheriff's Department,1
2418,Bristow Police Department,1
2419,Brisbane Police Department,1
2420,Brighton Town Police Department,1
2421,Detroit Public Schools Police K-12,1
2422,Bridgton Police Department,1
2423,Dewitt County Sheriff's Office,1
2424,Diamondhead Police Department,1
2425,Bridge City Police Department,1
2426,Dickinson Police Department,1
2427,Briarcliff Manor Village Police Department,1
2428,Brevard County Sheriff: North Precinct,1
2429,Brevard County Sheriff: East Precinct,1
2430,Brooks County Sheriff's Office,1
2431,Broome County Sheriffs Office,1
2432,Burlington Police NC,1
2433,Deposit Village Police Department,1
2434,Burlington County (NJ) Public Safety,1
2435,Department Of Public Safety,1
2436,Bulverde Police Department,1
2437,Bulloch County Sheriff's Office,1
2438,Department Of Public Safety Records Division,1
2439,Bullhead City Police Department,1
2440,"Department Of State Police, Emergency Management And Homeland Security Division",1
2441,Buffalo County Sheriff,1
2442,"Bucks County Sheriff, PA",1
2443,Buchanan Village Police Department,1
2444,Bryan County Sheriff's Office,1
2445,Brownville Village Police Department,1
2446,Brownstown Police Department,1
2447,Brownsburg Police Department,1
2448,Depew Village Police Department,1
2449,rochester police department,1
2450,Lindsay Police Department,1
2451,Flowood Police Department,1
2452,San Ramon Police Department,1
2453,Sagadahoc County Sheriff,1
2454,Saginaw Police Department,1
2455,Saint Augustine Police Department,1
2456,"Saint Clair Police Department, Saint Clair",1
2457,Salisbury Police Department,1
2458,San Angelo Police Department,1
2459,San Carlos Police Department,1
2460,San Fernando Police Department,1
2461,San Francisco State University Police Department,1
2462,San Gabriel Police Department,1
2463,San Joaquin Delta Community College District Police Department,1
2464,San Juan Police Department,1
2465,San Marino Police Department,1
2466,San Patricio County Sheriff,1
2467,Sands Point Village Police Department,1
2468,Richmond Heights Police Department,1
2469,Sandusky County Sheriff,1
2470,Sandusky Police Department,1
2471,Sanilac County Sheriff's Department,1
2472,Santa Monica College Police Department,1
2473,Saranac Lake Village Police Department,1
2474,Sauk County Sheriff,1
2475,Sayre Police Department,1
2476,Schenectady City Police Department,1
2477,Schodack Town Police Department,1
2478,"Schoharie County Sheriff's Office, Howes Cave",1
2479,Schoharie Village Police Department,1
2480,Schoolcraft County Sheriff’s Office,1
2481,Scotia Village Police Department,1
2482,Scotland County Sheriff's Office,1
2483,Sag Harbor Village Police Department,1
2484,Sacramento Unified Police Department,1
2485,Sacramento State Police Department,1
2486,Sackets Harbor Village Police Department,1
2487,Ringgold Police Department,1
2488,Rio Dell Police Department,1
2489,River Rouge Police Department,1
2490,Riverdale City Police Department,1
2491,Riverhead Town Police Department,1
2492,Riverton Police Department,1
2493,Riviera Beach Police Department,1
2494,Robinson Police Department,1
2495,Rock County Sheriff's Office,1
2496,Rockbridge County Sheriff's Office,1
2497,Rocklin Police Department,1
2498,Rockville Centre Village Police Department,1
2499,Rockville City Police Department,1
2500,Rockwall County Sheriff,1
2501,Rogers County Sheriff,1
2502,Rogersville Police Department,1
2503,Rosemont Police Department,1
2504,Rosendale Town Police Department,1
2505,Rotterdam Town Police Department,1
2506,Round Lake Park Police Department,1
2507,Rowan University Police,1
2508,Rowlett Police Department,1
2509,Roxbury Police Department,1
2510,Royal Oak Police Department,1
2511,Rumson Police Department,1
2512,Rushford Town Police Department,1
2513,Rusk County Sheriff,1
2514,Rye Brook Village Police Department,1
2515,Sabine Parish Sheriff's Office,1
2516,Scranton Police Department,1
2517,Screven County Sheriffs Office,1
2518,Seaford Police Department,1
2519,Simpsonville Police Department,1
2520,Sisseton Police Department,1
2521,Sisseton Wahpeton Oyate Police Department,1
2522,Skaneateles Village Police Department,1
2523,Slatington Police Department,1
2524,Smith County Sheriff's Department,1
2525,Smithfield City Police Department,1
2526,Snowline Joint Unified School District Police Department,1
2527,Socorro County Sheriff's Office,1
2528,Soddy Daisy Police Department,1
2529,Solvay Village Police Department,1
2530,Somerset Police Department,1
2531,Sonora Police Department,1
2532,Souderton Police Department,1
2533,"South Fulton Police Department, South Fulton",1
2534,South Glens Falls Village Police Department,1
2535,South Miami Police Department,1
2536,South Nyack-Grand View Village Police Department,1
2537,South Portland Police Department,1
2538,Southborough Police Department,1
2539,Southern Illinois University Carbondale Police,1
2540,Southern Regional Police Department,1
2541,Southgate Police Department,1
2542,Southold Town Police Department,1
2543,Southport Police Department,1
2544,Southport Town Police Department,1
2545,Southwick Police Department,1
2546,Spalding County Sheriff’s Office,1
2547,Sparks Police Department (GA),1
2548,Sparta Township Police Department,1
2549,Simsbury Police Department,1
2550,Simpson County Sheriff's Department,1
2551,Seaside Police Department,1
2552,Silver Creek Village Police Department,1
2553,Sebastian County Sheriff,1
2554,Seekonk Police Department,1
2555,Seguin Police Department,1
2556,Seminole County Sheriff's Office,1
2557,Senatobia Police Department,1
2558,Seneca County Sheriff's Department,1
2559,Sequim Police Department,1
2560,Sewickley Police Department,1
2561,Shafter Police Department,1
2562,Shallotte Police Department,1
2563,Sharkey County Sheriff's Department,1
2564,Shawangunk Town Police Department,1
2565,Shawano County Sheriff,1
2566,Sheboygan County Sheriff,1
2567,"Shelby Township Police Department, Shelby Township",1
2568,Shelter Island Town Police Department,1
2569,Shenandoah Police Department,1
2570,Sherburne Village Police Department,1
2571,Sheridan County Sheriff's Office,1
2572,Sheriff's Department  City Of La Mirada,1
2573,"Sheriff's Office, Jefferson County, Iowa",1
2574,Sherrill City Police Department,1
2575,Shiawassee County Sheriff's Office,1
2576,Shively Police Department,1
2577,Shortsville Village Police Department,1
2578,Shoshone County Sheriff's Office,1
2579,Sidney Village Police Department,1
2580,Signal Hill Police Department,1
2581,Silver City Police,1
2582,Rindge Police Department,1
2583,Richmond County Sheriff's Office,1
2584,Folsom Police Department,1
2585,Pembroke Police Department,1
2586,Pamlico County Sheriff's Office,1
2587,Panola County Sheriff,1
2588,Panola County Sheriff's Department,1
2589,Paradise Police Department,1
2590,Paramus Police Department,1
2591,Parker County Sheriff's Office,1
2592,Parlier Police Department,1
2593,Parma Police Department,1
2594,Pascagoula Police Department,1
